"","tree","year","dbh"
"925","VUF048",1932,NA
"926","VUF049",1932,NA
"927","VUF050",1932,NA
"928","VUF101",1932,NA
"929","VUF102",1932,NA
"930","VUF104",1932,NA
"931","VUF105",1932,NA
"932","VUF106",1932,NA
"933","VUF107",1932,NA
"934","VUF108",1932,NA
"935","VUF109",1932,NA
"936","VUF110",1932,NA
"937","VUF111",1932,NA
"938","VUF112",1932,12.2615
"939","VUF114",1932,NA
"940","VUF115",1932,NA
"941","VUF116",1932,NA
"942","VUF117",1932,NA
"943","VUF118",1932,NA
"944","VUF119",1932,NA
"945","VUF120",1932,NA
"946","VUF122",1932,NA
"947","VUF125",1932,NA
"948","VUF128",1932,NA
"949","VUF129",1932,NA
"950","VUF130",1932,NA
"951","VUF131",1932,NA
"952","VUF132",1932,NA
"953","VUF133",1932,17.046
"954","VUF135",1932,NA
"955","VUF136",1932,NA
"956","VUF137",1932,NA
"957","VUF139",1932,19.744
"958","VUF140",1932,NA
"959","VUF142",1932,NA
"960","VUF143",1932,NA
"961","VUF144",1932,NA
"962","VUF145",1932,NA
"963","VUF146",1932,NA
"964","VUF147",1932,NA
"965","VUF148",1932,NA
"966","VUF149",1932,NA
"967","VUF150",1932,NA
"968","VUF151",1932,NA
"969","VUF208",1932,NA
"970","VUF209",1932,NA
"971","VUF219",1932,NA
"972","VUF222",1932,NA
"973","VUF229",1932,NA
"974","VUF235",1932,NA
"975","VUF242",1932,NA
"976","VUF308",1932,NA
"977","VUF322",1932,NA
"978","VUF335",1932,NA
"979","VUF435",1932,NA
"980","VUF508",1932,NA
"981","VUF001",1933,23.612
"982","VUF002",1933,20.085
"983","VUF003",1933,NA
"984","VUF004",1933,NA
"985","VUF005",1933,14.146
"986","VUF006",1933,NA
"987","VUF007",1933,NA
"988","VUF008",1933,NA
"989","VUF009",1933,3.706
"990","VUF010",1933,NA
"991","VUF011",1933,NA
"992","VUF012",1933,NA
"993","VUF013",1933,NA
"994","VUF015",1933,NA
"995","VUF016",1933,NA
"996","VUF017",1933,31.873
"997","VUF018",1933,NA
"998","VUF019",1933,NA
"999","VUF020",1933,NA
"1000","VUF021",1933,NA
"1001","VUF022",1933,NA
"1002","VUF023",1933,20.301
"1003","VUF024",1933,21.8525
"1004","VUF025",1933,NA
"1005","VUF026",1933,NA
"1006","VUF027",1933,NA
"1007","VUF028",1933,NA
"1008","VUF029",1933,NA
"1009","VUF030",1933,NA
"1010","VUF031",1933,NA
"1011","VUF032",1933,NA
"1012","VUF034",1933,NA
"1013","VUF036",1933,NA
"1014","VUF037",1933,NA
"1015","VUF038",1933,NA
"1016","VUF039",1933,27.8695
"1017","VUF040",1933,28.613
"1018","VUF041",1933,NA
"1019","VUF042",1933,24.9305
"1020","VUF044",1933,NA
"1021","VUF045",1933,NA
"1022","VUF047",1933,NA
"1023","VUF048",1933,NA
"1024","VUF049",1933,NA
"1025","VUF050",1933,NA
"1026","VUF101",1933,NA
"1027","VUF102",1933,NA
"1028","VUF104",1933,NA
"1029","VUF105",1933,NA
"1030","VUF106",1933,NA
"1031","VUF107",1933,NA
"1032","VUF108",1933,13.138
"1033","VUF109",1933,NA
"1034","VUF110",1933,NA
"1035","VUF111",1933,NA
"1036","VUF112",1933,12.471
"1037","VUF114",1933,NA
"1038","VUF115",1933,NA
"1039","VUF116",1933,NA
"1040","VUF117",1933,NA
"1041","VUF118",1933,NA
"1042","VUF119",1933,3.227
"1043","VUF120",1933,NA
"1044","VUF122",1933,NA
"1045","VUF125",1933,NA
"1046","VUF128",1933,NA
"1047","VUF129",1933,NA
"1048","VUF130",1933,NA
"1049","VUF131",1933,NA
"1050","VUF132",1933,NA
"1051","VUF133",1933,17.3915
"1052","VUF135",1933,NA
"1053","VUF136",1933,NA
"1054","VUF137",1933,NA
"1055","VUF139",1933,20.01
"1056","VUF140",1933,NA
"1057","VUF142",1933,NA
"1058","VUF143",1933,NA
"1059","VUF144",1933,NA
"1060","VUF145",1933,NA
"1061","VUF146",1933,NA
"1062","VUF147",1933,NA
"1063","VUF148",1933,NA
"1064","VUF149",1933,NA
"1065","VUF150",1933,NA
"1066","VUF151",1933,NA
"1067","VUF208",1933,NA
"1068","VUF209",1933,3.706
"1069","VUF219",1933,NA
"1070","VUF222",1933,NA
"1071","VUF229",1933,NA
"1072","VUF235",1933,NA
"1073","VUF242",1933,NA
"1074","VUF308",1933,NA
"1075","VUF322",1933,NA
"1076","VUF335",1933,NA
"1077","VUF435",1933,NA
"1078","VUF508",1933,13.138
"1079","VUF001",1934,24.0585
"1080","VUF002",1934,20.415
"1081","VUF003",1934,17.163
"1082","VUF004",1934,NA
"1083","VUF005",1934,14.364
"1084","VUF006",1934,NA
"1085","VUF007",1934,NA
"1086","VUF008",1934,NA
"1087","VUF009",1934,3.9775
"1088","VUF010",1934,NA
"1089","VUF011",1934,NA
"1090","VUF012",1934,NA
"1091","VUF013",1934,NA
"1092","VUF015",1934,NA
"1093","VUF016",1934,NA
"1094","VUF017",1934,32.271
"1095","VUF018",1934,NA
"1096","VUF019",1934,NA
"1097","VUF020",1934,NA
"1098","VUF021",1934,NA
"1099","VUF022",1934,NA
"1100","VUF023",1934,20.5685
"1101","VUF024",1934,22.217
"1102","VUF025",1934,NA
"1103","VUF026",1934,NA
"1104","VUF027",1934,NA
"1105","VUF028",1934,NA
"1106","VUF029",1934,NA
"1107","VUF030",1934,NA
"1108","VUF031",1934,NA
"1109","VUF032",1934,NA
"1110","VUF034",1934,NA
"1111","VUF036",1934,NA
"1112","VUF037",1934,NA
"1113","VUF038",1934,NA
"1114","VUF039",1934,28.45
"1115","VUF040",1934,29.148
"1116","VUF041",1934,NA
"1117","VUF042",1934,25.325
"1118","VUF044",1934,NA
"1119","VUF045",1934,14.345
"1120","VUF047",1934,NA
"1121","VUF048",1934,NA
"1122","VUF049",1934,NA
"1123","VUF050",1934,NA
"1124","VUF101",1934,NA
"1125","VUF102",1934,NA
"1126","VUF104",1934,8.9995
